setup_pic,setup_obj,setup_col,target_pic,target_obj,target_col,distractor,distractor_col,distractor_cond,focus_cond,condition
Koffer_schwarz.png,Koffer,schwarz,Blut_rot.png,Blut,rot,Nest,braun,filler,filler,filler
Raupe_gruen.png,Raupe,gruen,Salat_gruen.png,Salat,gruen,Holz,braun,unrel,foc,unrel_foc
Mund_rot.png,Mund,rot,Krone_gold.png,Krone,gold,Brief,weiss,unrel,nofoc,unrel_nofoc
Reifen_schwarz_neu.png,Reifen,schwarz,Klavier_schwarz.png,Klavier,schwarz,Anzug,schwarz,rel,foc,rel_foc
Pokal_gold.png,Pokal,gold,Geige_braun.png,Geige,braun,Nuss,braun,rel,nofoc,rel_nofoc
Tomate_rot.png,Tomate,rot,Zahn_weiss.png,Zahn,weiss,Kaktus,gruen,unrel,nofoc,unrel_nofoc
Reifen_schwarz_neu.png,Reifen,schwarz,Herz_rot.png,Herz,rot,Mund,rot,rel,nofoc,rel_nofoc
Pokal_gold.png,Pokal,gold,Ring_gold.png,Ring,gold,Iglu,weiss,unrel,foc,unrel_foc
Geige_braun.png,Geige,braun,Holz_braun.png,Holz,braun,Nuss,braun,rel,foc,rel_foc
Salat_gruen.png,Salat,gruen,Raupe_gruen.png,Raupe,gruen,Kaktus,gruen,rel,foc,rel_foc
Tomate_rot.png,Tomate,rot,Krone_gold.png,Krone,gold,Pokal,gold,rel,nofoc,rel_nofoc
Brief_weiss.png,Brief,weiss,Nuss_braun.png,Nuss,braun,Ring,gold,unrel,nofoc,unrel_nofoc
Klavier_schwarz.png,Klavier,schwarz,Anzug_schwarz.png,Anzug,schwarz,Reifen,schwarz,rel,foc,rel_foc
Geige_braun.png,Geige,braun,Iglu_weiss.png,Iglu,weiss,Raupe,gruen,unrel,nofoc,unrel_nofoc
Herz_rot.png,Herz,rot,Mund_rot.png,Mund,rot,Pokal,gold,unrel,foc,unrel_foc
Kaktus_gruen.png,Kaktus,gruen,Tomate_rot.png,Tomate,rot,Herz,rot,rel,nofoc,rel_nofoc
Reifen_schwarz_neu.png,Reifen,schwarz,Anzug_schwarz.png,Anzug,schwarz,Krone,gold,unrel,foc,unrel_foc
Brief_weiss.png,Brief,weiss,Zahn_weiss.png,Zahn,weiss,Iglu,weiss,rel,foc,rel_foc
Salat_gruen.png,Salat,gruen,Reifen_schwarz_neu.png,Reifen,schwarz,Mund,rot,unrel,nofoc,unrel_nofoc
Holz_braun.png,Holz,braun,Nuss_braun.png,Nuss,braun,Geige,braun,rel,foc,rel_foc
Zahn_weiss.png,Zahn,weiss,Pokal_gold.png,Pokal,gold,Klavier,schwarz,unrel,nofoc,unrel_nofoc
Iglu_weiss.png,Iglu,weiss,Kaktus_gruen.png,Kaktus,gruen,Ring,gold,unrel,nofoc,unrel_nofoc
Tomate_rot.png,Tomate,rot,Herz_rot.png,Herz,rot,Brief,weiss,unrel,foc,unrel_foc
Anzug_schwarz.png,Anzug,schwarz,Reifen_schwarz_neu.png,Reifen,schwarz,Klavier,schwarz,rel,foc,rel_foc
Zahn_weiss.png,Zahn,weiss,Holz_braun.png,Holz,braun,Geige,braun,rel,nofoc,rel_nofoc
Kaktus_gruen.png,Kaktus,gruen,Salat_gruen.png,Salat,gruen,Raupe,gruen,rel,foc,rel_foc
Krone_gold.png,Krone,gold,Pokal_gold.png,Pokal,gold,Mund,rot,unrel,foc,unrel_foc
Iglu_weiss.png,Iglu,weiss,Brief_weiss.png,Brief,weiss,Zahn,weiss,rel,foc,rel_foc
Geige_braun.png,Geige,braun,Ring_gold.png,Ring,gold,Kaktus,gruen,unrel,nofoc,unrel_nofoc
Anzug_schwarz.png,Anzug,schwarz,Klavier_schwarz.png,Klavier,schwarz,Salat,gruen,unrel,foc,unrel_foc
Holz_braun.png,Holz,braun,Mund_rot.png,Mund,rot,Tomate,rot,rel,nofoc,rel_nofoc
Krone_gold.png,Krone,gold,Brief_weiss.png,Brief,weiss,Nuss,braun,unrel,nofoc,unrel_nofoc
Reifen_schwarz_neu.png,Reifen,schwarz,Iglu_weiss.png,Iglu,weiss,Zahn,weiss,rel,nofoc,rel_nofoc
Tomate_rot.png,Tomate,rot,Mund_rot.png,Mund,rot,Herz,rot,rel,foc,rel_foc
Holz_braun.png,Holz,braun,Geige_braun.png,Geige,braun,Salat,gruen,unrel,foc,unrel_foc
Klavier_schwarz.png,Klavier,schwarz,Raupe_gruen.png,Raupe,gruen,Zahn,weiss,unrel,nofoc,unrel_nofoc
Iglu_weiss.png,Iglu,weiss,Tomate_rot.png,Tomate,rot,Geige,braun,unrel,nofoc,unrel_nofoc